order_detail_id,order_id,product_id,quantity,discount,tax_rate,total_price,profit,unit_price,cost_price,is_loss_sale
OD0000001,O202311050000,P140,1,0.26,0.21,1144.77,51.14,1278.5,894.9499999999999,False
OD0000002,O202311050000,P134,1,0.23,0.21,79.54,0.93,85.37,64.8,False
OD0000003,O202311050000,P151,1,0.08,0.21,720.52,142.4,647.25,453.075,False
OD0000004,O202505200001,P157,5,0.1,0.21,931.37,115.78,171.05,130.79,False
OD0000005,O202505200001,P106,1,0.0,0.21,1540.05,315.92,1272.77,956.85,False
OD0000006,O202308170002,P127,2,0.12,0.21,1094.06,279.96,513.74,312.11,False
OD0000007,O202308170002,P124,3,0.09,0.21,664.92,134.38,201.29,138.38,False
OD0000008,O202308170002,P150,4,0.28,0.21,1766.76,-151.99,506.99,403.03,True
OD0000009,O202308170002,P128,3,0.27,0.21,930.43,-36.76,351.12,268.57,True
OD0000010,O202305220003,P143,2,0.28,0.21,707.0,6.99,405.76,288.65,False
OD0000011,O202510250004,P152,5,0.0,0.21,7583.92,2588.4,1253.54,735.86,False
OD0000012,O202406220005,P128,3,0.09,0.21,1159.85,152.85,351.12,268.57,False
OD0000013,O202507190006,P126,1,0.27,0.21,864.14,49.51,978.31,664.66,False
OD0000014,O202507190006,P115,4,0.1,0.21,1748.85,201.61,401.48,310.93,False
OD0000015,O202301250007,P149,2,0.2,0.21,743.73,182.32,384.16,216.17,False
OD0000016,O202301250007,P113,1,0.06,0.21,368.93,55.44,324.36,249.46,False
OD0000017,O202408040008,P129,1,0.15,0.21,1035.46,268.72,1006.77,587.03,False
OD0000018,O202408040008,P120,3,0.25,0.21,3969.7,319.69,1458.11,987.02,False
OD0000019,O202408040008,P129,2,0.07,0.21,2265.84,698.53,1006.77,587.03,False
OD0000020,O202504070009,P108,4,0.02,0.21,538.97,107.59,113.63,84.46,False
OD0000021,O202504070009,P156,4,0.26,0.21,4969.43,483.25,1387.49,905.93,False
OD0000022,O202504070009,P135,3,0.16,0.21,2236.89,417.58,733.6,477.03,False
OD0000023,O202505250010,P143,2,0.0,0.21,981.94,234.22,405.76,288.65,False
OD0000024,O202505250010,P149,3,0.2,0.21,1115.6,273.47,384.16,216.17,False
OD0000025,O202505250010,P134,4,0.08,0.21,380.14,54.96,85.37,64.8,False
OD0000026,O202212020011,P131,2,0.13,0.21,1310.7,381.56,622.54,350.83,False
OD0000027,O202409080012,P122,4,0.17,0.21,2964.77,558.71,738.02,472.88,False
OD0000028,O202409080012,P125,1,0.07,0.21,1628.2,276.63,1446.9,1068.99,False
OD0000029,O202404120013,P108,1,0.18,0.21,112.74,8.72,113.63,84.46,False
OD0000030,O202503010014,P138,2,0.11,0.21,720.17,127.06,334.37,234.059,False
OD0000031,O202503010014,P109,5,0.07,0.21,2386.59,612.49,424.17,271.98,False
OD0000032,O202404030015,P128,1,0.01,0.21,420.61,79.04,351.12,268.57,False
OD0000033,O202306230016,P117,5,0.09,0.21,1367.35,261.89,248.36,173.63,False
OD0000034,O202306230016,P116,4,0.1,0.21,3350.59,615.35,769.19,538.433,False
OD0000035,O202404090017,P107,3,0.03,0.21,448.59,100.46,127.4,90.09,False
OD0000036,O202501170018,P125,3,0.11,0.21,4674.5,656.25,1446.9,1068.99,False
OD0000037,O202501170018,P113,4,0.29,0.21,1114.63,-76.66,324.36,249.46,True
OD0000038,O202506180019,P106,2,0.19,0.21,2494.88,148.19,1272.77,956.85,False
OD0000039,O202506180019,P101,5,0.0,0.21,6745.21,2314.1,1114.91,652.09,False
OD0000040,O202506180019,P124,4,0.2,0.21,779.39,90.61,201.29,138.38,False
OD0000041,O202303190020,P120,5,0.08,0.21,8115.84,1772.21,1458.11,987.02,False
OD0000042,O202303190020,P142,3,0.23,0.21,2765.7,418.29,989.48,622.47,False
OD0000043,O202508280021,P125,5,0.0,0.21,8753.74,1889.55,1446.9,1068.99,False
OD0000044,O202508280021,P112,5,0.22,0.21,1657.64,140.51,351.27,245.889,False
OD0000045,O202508280021,P155,5,0.0,0.21,7854.47,1605.35,1298.26,977.19,False
OD0000046,O202403280022,P134,1,0.16,0.21,86.77,6.91,85.37,64.8,False
OD0000047,O202403280022,P155,4,0.29,0.21,4461.34,-221.7,1298.26,977.19,True
OD0000048,O202403280022,P102,5,0.14,0.21,298.39,45.88,57.35,40.145,False
OD0000049,O202509010023,P120,4,0.1,0.21,6351.53,1301.12,1458.11,987.02,False
OD0000050,O202504210024,P125,1,0.21,0.21,1383.09,74.06,1446.9,1068.99,False
OD0000051,O202504210024,P140,5,0.0,0.21,7734.93,1917.75,1278.5,894.9499999999999,False
OD0000052,O202302250025,P133,4,0.02,0.21,3029.01,938.87,638.6,391.11,False
OD0000053,O202408200026,P125,2,0.04,0.21,3361.44,640.07,1446.9,1068.99,False
OD0000054,O202408200026,P112,2,0.15,0.21,722.56,105.38,351.27,245.889,False
OD0000055,O202302280027,P140,3,0.0,0.21,4640.95,1150.65,1278.5,894.9499999999999,False
OD0000056,O202302280027,P154,2,0.0,0.21,394.82,74.72,163.15,125.79,False
OD0000057,O202302280027,P157,1,0.01,0.21,204.9,38.55,171.05,130.79,False
OD0000058,O202507030028,P121,2,0.23,0.21,570.89,110.05,306.37,180.88,False
OD0000059,O202507030028,P124,3,0.02,0.21,716.07,176.65,201.29,138.38,False
OD0000060,O202403010029,P156,2,0.17,0.21,2786.91,491.37,1387.49,905.93,False
OD0000061,O202403010029,P150,3,0.03,0.21,1785.16,266.25,506.99,403.03,False
OD0000062,O202403010029,P123,5,0.09,0.21,7257.52,2231.7,1318.23,753.25,False
OD0000063,O202505190030,P153,1,0.18,0.21,1338.95,73.98,1349.48,1032.59,False
OD0000064,O202505190030,P130,2,0.26,0.21,2111.5,335.8,1179.08,704.62,False
OD0000065,O202404100031,P142,2,0.0,0.21,2394.54,734.02,989.48,622.47,False
OD0000066,O202502180032,P151,1,0.26,0.21,579.55,25.89,647.25,453.075,False
OD0000067,O202503050033,P128,3,0.22,0.21,994.16,15.91,351.12,268.57,False
OD0000068,O202503050033,P149,2,0.28,0.21,669.36,120.85,384.16,216.17,False
OD0000069,O202503050033,P112,4,0.0,0.21,1700.15,421.52,351.27,245.889,False
OD0000070,O202307310034,P135,5,0.05,0.21,4216.37,1099.45,733.6,477.03,False
OD0000071,O202307310034,P114,3,0.18,0.21,3953.46,933.5,1328.18,777.94,False
