order_id,order_date,customer_id,region_id,ship_mode,payment_method,delivery_time_days,shipping_cost,order_priority
O202311050000,11/5/2023,CUST_1364,R03,Standard,Bancontact,6,15.91,Low
O202505200001,5/20/2025,CUST_2123,R03,Express,Visa,3,5.4,Low
O202308170002,8/17/2023,CUST_1491,R04,Express,Visa,2,0.94,Urgent
O202305220003,5/22/2023,CUST_2065,R02,Economy,SEPA,9,8.98,Medium
O202510250004,10/25/2025,CUST_2066,R03,Standard,SEPA,6,2.16,Medium
O202406220005,6/22/2024,CUST_2154,R03,Express,Bancontact,1,7.84,Low
O202507190006,7/19/2025,CUST_1197,R05,Express,Visa,2,11.15,Low
O202301250007,1/25/2023,CUST_1386,R02,Overnight,iDEAL,1,9.11,Medium
O202408040008,8/4/2024,CUST_2112,R01,Standard,PayPal,8,15.38,High
O202504070009,4/7/2025,CUST_1444,R03,Standard,PayPal,10,14.53,High
O202505250010,5/25/2025,CUST_1381,R04,Economy,PayPal,5,7.9,Low
O202212020011,12/2/2022,CUST_1093,R03,Express,SEPA,1,0.08,Medium
O202409080012,9/8/2024,CUST_1363,R03,Express,PayPal,2,2.26,Medium
O202404120013,4/12/2024,CUST_1866,R05,Express,SEPA,3,6.53,High
O202503010014,3/1/2025,CUST_1848,R03,Overnight,Visa,1,13.03,Urgent
O202404030015,4/3/2024,CUST_1022,R03,Standard,SEPA,8,11,High
O202306230016,6/23/2023,CUST_1237,R03,Express,Visa,1,2.67,Medium
O202404090017,4/9/2024,CUST_2159,R05,Standard,PayPal,7,4.17,High
O202501170018,1/17/2025,CUST_1414,R02,Standard,Visa,8,8.27,High
O202506180019,6/18/2025,CUST_1981,R02,Standard,Mastercard,5,2.94,Medium
O202303190020,3/19/2023,CUST_1496,R03,Standard,PayPal,8,7.05,High
O202508280021,8/28/2025,CUST_1388,R04,Economy,PayPal,4,15.13,Low
O202403280022,3/28/2024,CUST_1682,R01,Express,Mastercard,3,6.06,Low
O202509010023,9/1/2025,CUST_1131,R04,Express,SEPA,1,11.5,High
O202504210024,4/21/2025,CUST_1143,R04,Standard,iDEAL,7,2.29,Low
