order_id,order_date,customer_id,region_id,ship_mode,payment_method,delivery_time_days,shipping_cost,order_priority
O202311050000,11/5/2023,CUST_2209,R03,Standard,Bancontact,6,15.91,Low
O202505200001,5/20/2025,CUST_2123,R07,express,Visa,3,5.4,Low
O202308170002,8/17/2023,CUST_1491,R08,Express,visa,2,0.94,Urgent
O202305220003,5/22/2023,CUST_2065,R02,Economy,SEPA,9,8.98,MEDIUM
O202510250004,10/25/2025,CUST_2069,R07,STANDARD,SEPA,6,2.16,Medium
O202406220005,6/22/2024,CUST_1874,R07,express,Bancontact,1,7.84,Low
O202507190006,7/19/2025,CUST_1797,R05,express,visa,2,11.15,low
O202301250007,1/25/2023,CUST_1386,R02,Overnight,iDEAL,1,9.11,Medium
O202408040008,8/4/2024,CUST_1099,R01,Standard,PayPal,8,15.38,High
O202504070009,4/7/2025,CUST_2042,R03,STANDARD,PayPal,10,14.53,High
O202505250010,5/25/2025,CUST_1381,R04,Economy,PayPal,5,7.9,low
O202212020011,12/2/2022,CUST_1093,R07,Express,SEPA,1,0.08,Medium
O202409080012,9/8/2024,CUST_1363,R07,Express,PayPal,2,2.26,Medium
O202404120013,4/12/2024,CUST_1866,R05,Express,SEPA,3,6.53,High
O202503010014,3/1/2025,CUST_1848,R07,Overnight,visa,1,13.03,Urgent
O202404030015,4/3/2024,CUST_1022,R07,Standard,SEPA,8,11,High
O202306230016,6/23/2023,CUST_1237,R03,express,Visa,1,2.67,MEDIUM
O202404090017,4/9/2024,CUST_1816,R05,STANDARD,PayPal,7,4.17,High
O202501170018,1/17/2025,CUST_1414,R02,STANDARD,visa,8,8.27,High
O202506180019,6/18/2025,CUST_1981,R02,Standard,Mastercard,5,2.94,MEDIUM
O202303190020,3/19/2023,CUST_1496,R07,STANDARD,PayPal,8,7.05,High
O202508280021,8/28/2025,CUST_1388,R04,Economy,PayPal,4,15.13,Low
O202403280022,3/28/2024,CUST_1360,R06,express,Mastercard,3,6.06,Low
O202509010023,9/1/2025,CUST_1131,R04,Express,SEPA,1,11.5,High
O202504210024,4/21/2025,CUST_1143,R04,STANDARD,iDEAL,7,2.29,Low
O202302250025,2/25/2023,CUST_1229,R02,express,iDEAL,,11.49,MEDIUM
O202408200026,8/20/2024,CUST_1759,R01,Express,Visa,3,6.08,low
O202302280027,2/28/2023,CUST_1794,R02,Express,visa,3,8.7,High
O202507030028,7/3/2025,CUST_2171,R07,Overnight,SEPA,1,7.17,MEDIUM
O202403010029,3/1/2024,CUST_2005,R05,Overnight,SEPA,1,14.66,Medium
O202505190030,5/19/2025,CUST_2099,R06,Express,Mastercard,2,2.78,Urgent
O202404100031,4/10/2024,CUST_1329,R06,Economy,Visa,10,2.3,Urgent
O202502180032,2/18/2025,CUST_2109,R04,express,Mastercard,3,15.02,Urgent
O202503050033,3/5/2025,CUST_1944,R08,express,Bancontact,2,5.2,Urgent
O202307310034,7/31/2023,CUST_2086,R04,Express,Mastercard,3,3.1,MEDIUM
O202411140035,11/14/2024,CUST_1949,R07,Overnight,SEPA,1,6.27,Urgent
